20905.58000000,20912.72000000,20896.41000000,20909.95000000,449.67959000,4964157.003731,4436726.803960
20910.40000000,20913.21000000,20895.75000000,20912.60000000,352.70834000,3643896.207463,3728717.965265
20912.60000000,20932.28000000,20911.50000000,20929.41000000,401.94916000,3872206.626104,4537612.481459
20929.41000000,20950.00000000,20915.68000000,20946.64000000,494.25851000,4629972.713626,5715741.651004
20946.64000000,20948.65000000,20893.05000000,20901.63000000,724.75912000,7320752.794355,7836767.682230
20902.60000000,20918.29000000,20900.00000000,20908.01000000,401.40943000,3771149.803903,4621231.822917
20908.01000000,20922.47000000,20901.92000000,20917.71000000,450.89773000,4913678.209218,4515010.972727
20917.71000000,20921.91000000,20904.79000000,20921.79000000,374.46522000,3791622.518587,4039957.687575
20921.36000000,20934.17000000,20919.29000000,20933.84000000,261.60019000,2678048.968081,2795865.829229
20933.83000000,20942.05000000,20931.48000000,20937.95000000,329.53537000,3269061.531154,3630471.649867
20937.95000000,20942.03000000,20914.47000000,20915.96000000,296.56113000,3288223.066239,2917320.264709
20917.08000000,20921.41000000,20901.69000000,20905.74000000,229.80928000,2512178.359052,2292950.587719
20905.74000000,20915.22000000,20900.22000000,20900.51000000,190.92889000,2189851.663899,1801204.364977
20901.67000000,20913.20000000,20900.01000000,20905.18000000,248.74114000,2468154.288735,2732246.491656
20905.94000000,20915.06000000,20904.93000000,20912.53000000,163.88235000,1638585.151368,1788192.634324
20911.53000000,20916.00000000,20900.12000000,20909.21000000,340.14552000,3555510.435326,3556235.302488
20908.32000000,20920.00000000,20901.59000000,20915.05000000,252.58914000,2337792.257066,2943701.694177
20915.26000000,20949.56000000,20907.63000000,20946.36000000,532.48411000,5035018.626475,6109837.265736
20946.02000000,20952.00000000,20936.60000000,20942.52000000,334.03793000,3869502.615392,3126593.399773
20941.41000000,20944.31000000,20934.91000000,20936.16000000,156.11769000,1673320.439888,1595628.507642
20937.07000000,20937.84000000,20923.69000000,20932.96000000,170.59659000,1868378.953929,1702143.977344
20932.96000000,20937.20000000,20928.91000000,20935.74000000,259.62111000,2149585.285295,3285253.271670
20935.74000000,20939.87000000,20921.89000000,20925.59000000,187.54369000,2194562.748754,1731030.930907
20926.60000000,20934.56000000,20925.40000000,20931.32000000,182.32615000,2020406.514104,1795739.497001
20931.32000000,20943.00000000,20930.67000000,20937.95000000,216.82624000,1977005.965817,2562930.719040
20937.95000000,20938.32000000,20911.75000000,20925.41000000,291.74912000,3997241.062351,2107509.586674
20925.41000000,20926.88000000,20915.17000000,20917.13000000,134.76642000,1394694.257060,1424581.571985
20917.85000000,20923.82000000,20917.13000000,20922.91000000,88.91212000,794474.993665,1065647.135645
20922.08000000,20922.91000000,20914.55000000,20918.52000000,194.83643000,1921325.808333,2154337.381487
20918.52000000,20923.87000000,20915.72000000,20919.01000000,160.01095000,1615194.371322,1732054.212362
20919.73000000,20921.82000000,20902.80000000,20915.89000000,401.92435000,4570258.252969,3833996.156947
20915.10000000,20916.27000000,20901.00000000,20905.07000000,199.00903000,2144805.513051,2015948.467640
20905.07000000,20908.00000000,20900.28000000,20906.21000000,158.47216000,1656194.767248,1656468.518275
20906.24000000,20914.37000000,20900.52000000,20910.88000000,201.07334000,2391048.974058,1812630.251804
20911.56000000,20917.46000000,20907.00000000,20913.96000000,189.23520000,1750110.602764,2207302.176442
20913.74000000,20917.34000000,20887.39000000,20902.83000000,423.39175000,4749740.537888,4098785.726745
20902.83000000,20918.86000000,20899.95000000,20915.04000000,223.53875000,2035000.471729,2639212.273360
20915.04000000,20929.86000000,20913.24000000,20923.92000000,190.97455000,1656128.680674,2339778.072030
20923.92000000,20930.26000000,20918.56000000,20925.05000000,177.23599000,1834947.199276,1873674.738548
20925.93000000,20928.23000000,20920.41000000,20923.34000000,141.91848000,1663454.009399,1306172.842596
20923.34000000,20927.18000000,20920.00000000,20922.11000000,146.76208000,1580102.842002,1490670.679016
20922.11000000,20922.65000000,20896.53000000,20904.79000000,373.83034000,3515424.117874,4299320.945325
20904.79000000,20920.24000000,20902.73000000,20913.04000000,224.38059000,2116812.546193,2575362.817093
20913.60000000,20926.41000000,20913.02000000,20923.87000000,153.59789000,1437246.398278,1776247.875805
20923.87000000,20924.05000000,20903.00000000,20909.20000000,217.64367000,2513941.359699,2037426.334833
20909.20000000,20910.21000000,20889.87000000,20903.14000000,448.39729000,4976037.383033,4395552.656638
20903.14000000,20912.47000000,20898.96000000,20911.58000000,258.11244000,2429867.627794,2963653.307527
20912.35000000,20919.62000000,20908.58000000,20912.05000000,284.87345000,2979545.382885,2978260.615596
20912.77000000,20914.50000000,20898.42000000,20909.65000000,309.81050000,3208620.021435,3268289.877412
20908.91000000,20911.59000000,20898.49000000,20901.19000000,264.91169000,2630979.100139,2906942.585322
20901.19000000,20904.34000000,20870.42000000,20883.15000000,497.00015000,5926273.868697,4454318.925111
20883.15000000,20894.20000000,20849.61000000,20864.52000000,875.33046000,8038037.078029,10225110.000395
